"station";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Abattis_Kotika_A";"MARONI";3.95954;-54.25549;NA;482;5;16;18;37;44;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Abattis_Kotika_B";"MARONI";3.95954;-54.25549;NA;80;4;10;9;15;15;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Blanc";"COMTE";4.21086;-52.59206;"Reference";122;5;12;14;24;28;8;70;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Bois_Bande";"COMTE";4.25404;-52.5296;"Reference";291;5;18;20;34;40;8;123;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Paira";"APPROUAGUES";4.115;-52.05517;"Reference";125;5;11;10;19;22;5;0;0;54;3.155;0.0909;2.07555;0.5626074;0.3739748;22;0.4377432;0.2892132;0.0909;1.0807;9;0.7518889;0.68086308;0.2828;2.07555
"Affluent_Crique_Tortue";"APPROUAGUES";4.21008;-52.49144;"Reference";126;5;11;10;15;20;5;66;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Apa";"MARONI";5.3432;-54.08369;"Reference";190;5;9;10;16;18;4;49;0;39;1.76;0.19695;2.0806;0.7268115;0.4747741;10;0.527725;0.2532759;0.24745;0.9797;22;0.7942273;0.48274957;0.19695;1.69175
"Atachi_bakka_A";"MARONI";4.442874;-54.414;NA;80;5;10;9;17;20;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Atachi_bakka_B";"MARONI";4.442874;-54.414;NA;122;5;8;9;17;21;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_a_l'Est";"MANA";3.66264;-53.22197;NA;159;5;14;14;26;27;9;89;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Ately";"APPROUAGUES";3.993111;-52.58707;NA;60;5;10;7;11;13;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bastien";"MARONI";5.27003;-54.23433;"Piste";215;4;13;8;23;27;5;89;0;79;2.1;0.3535;4.56015;1.1364418;0.8171937;40;1.2343462;0.9162668;0.3636;4.56015;25;0.854258;0.49189497;0.3535;2.2422
"Crique_Blanc";"COMTE";4.19014;-52.61742;"Orpaillage_illegal";181;4;9;15;22;27;6;73;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bois_Bande";"COMTE";4.28739;-52.53672;"Orpaillage_illegal";71;4;9;12;18;23;5;59;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bonodeur";"APPROUAGUES";3.999278;-52.56382;NA;335;5;12;14;26;30;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bordel";"MANA";NA;NA;NA;6;3;4;4;4;4;4;5;0;3;11.9;0.5959;1.03525;0.8787;0.2453801;1;0.5959;NA;0.5959;0.5959;1;1.03525;NA;1.03525;1.03525
"Crique_Cacao";"COMTE";4.56177;-52.46061;"Agriculture";194;5;12;11;22;23;7;65;0;54;1.715;0.159075;4.76215;0.6777755;0.6842557;29;0.5285957;0.4058973;0.159075;1.7372;11;0.7547455;0.32719451;0.3131;1.3433
"Crique_Calebasse";"APPROUAGUES";3.60754;-53.12216;NA;87;2;5;8;9;9;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Chien_1";"OYAPOCK";3.18807;-52.48833;"Orpaillage_illegal";113;5;11;11;20;23;7;89;46;76;7.55;0.173551;3.837704;0.897439;0.7406818;19;1.1760478;0.8870391;0.297424;3.837704;41;0.6009299;0.36919926;0.173551;2.039113
"Crique_Chien_2";"OYAPOCK";3.18434;-52.4921;"Orpaillage_illegal";107;5;16;14;25;30;9;89;18;72;2.55;0.20398;4.37817;1.3940127;0.9698422;33;1.5779911;1.201913;0.236221;4.37817;27;1.142631;0.75286133;0.20398;2.894849
"Crique_Chien_3";"OYAPOCK";3.18672;-52.4867;"Orpaillage_ancien";75;5;12;11;18;23;7;66;15;53;2.3;0.155172;5.854503;0.7987746;0.8906956;27;0.9726653;1.2094745;0.155172;5.854503;19;0.5884209;0.24972867;0.326353;1.233509
"Crique_Chien_4";"OYAPOCK";3.18676;-52.48546;"Orpaillage_ancien";65;5;10;10;15;18;7;47;13;39;NA;0.200589;3.224464;0.7817721;0.524866;10;0.9149465;0.8598532;0.200589;3.224464;8;0.5153684;0.22249831;0.248216;0.9725
"Crique_Chien_5";"OYAPOCK";3.189834;-52.48989;"Orpaillage_illegal";153;5;15;16;30;36;9;84;29;75;1.9;0.060943;3.539505;1.0081674;0.7836184;25;0.9294386;0.8341518;0.239227;3.539505;28;1.1482491;0.82217235;0.269919;3.213607
"Crique_Chien_7";"OYAPOCK";3.189834;-52.48575;"Orpaillage_ancien";116;5;13;12;18;22;8;53;21;49;3.2;0.327321;4.446604;1.0106883;0.7859674;19;1.2799149;1.1001938;0.330134;4.446604;18;0.8502588;0.41404048;0.327321;1.941315
"Crique_Chien_8";"OYAPOCK";3.188361;-52.49176;"Orpaillage_illegal";109;4;11;12;19;21;6;52;17;48;5.05;0.313553;6.342882;1.6497861;1.344726;10;1.2716278;0.9455974;0.400197;2.718363;17;1.241193;0.628897;0.368192;2.387202
"Crique_Cipanama";"APPROUAGUES";4.230718;-52.01073;NA;28;2;3;3;4;4;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_clando";"MANA";4.75431;-53.96736;"Orpaillage_ancien";211;3;5;6;9;11;5;45;0;37;4.93;0.20705;2.1311;0.8511297;0.5072096;1;2.10585;NA;2.10585;2.10585;15;0.8430133;0.41729655;0.24745;1.5655
"Crique_Dachine";"COMTE";4.61006;-52.42301;"Agriculture";90;5;8;6;11;12;5;0;0;36;1.09;0.34845;2.1614;0.7990222;0.3957512;14;0.6694857;0.3717353;0.34845;1.54025;10;0.669125;0.08587475;0.58075;0.8181
"Crique_des_Cascades";"MARONI";5.3476;-54.1053;"Piste";218;4;7;6;8;9;4;0;0;33;4.88;0.4444;3.02495;1.3908924;0.59178;17;1.5996618;0.6689762;0.75245;3.02495;5;0.83426;0.30068499;0.4444;1.25745
"Crique_Deux_Roros";"SINNAMARY";4.361181;-52.89933;NA;48;4;10;8;12;14;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Eau_Claire";"KOUROU";5.14711;-52.87149;"Reference";257;5;15;13;28;33;6;69;0;53;2.27;0.21715;1.58065;0.6569288;0.2667432;18;0.74235;0.2573723;0.3939;1.58065;25;0.525402;0.20304664;0.21715;1.1817
