"stations_groupees";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Abattis_Kotika_A";"MARONI";3.95954;-54.25549;NA;482;5;16;18;37;44;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Abattis_Kotika_B";"MARONI";3.95954;-54.25549;NA;80;4;10;9;15;15;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Blanc";"COMTE";4.21086;-52.59206;"Reference";122;5;12;14;24;28;8;70;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Bois_Bande";"COMTE";4.25404;-52.5296;"Reference";291;5;18;20;34;40;8;123;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Affluent_Crique_Paira";"APPROUAGUES";4.115;-52.05517;"Reference";125;5;11;10;19;22;5;0;0;54;3.155;0.0909;2.07555;0.5626074;0.3739748;22;0.4377432;0.2892132;0.0909;1.0807;9;0.7518889;0.68086308;0.2828;2.07555
"Affluent_Crique_Tortue";"APPROUAGUES";4.21008;-52.49144;"Reference";126;5;11;10;15;20;5;66;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Apa";"MARONI";5.3432;-54.08369;"Reference";190;5;9;10;16;18;4;49;0;39;1.76;0.19695;2.0806;0.7268115;0.4747741;10;0.527725;0.2532759;0.24745;0.9797;22;0.7942273;0.48274957;0.19695;1.69175
"Atachi_bakka_A";"MARONI";4.442874;-54.414;NA;80;5;10;9;17;20;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Atachi_bakka_B";"MARONI";4.442874;-54.414;NA;122;5;8;9;17;21;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Ately";"APPROUAGUES";3.993111;-52.58707;NA;60;5;10;7;11;13;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bastien";"MARONI";5.27003;-54.23433;"Piste";215;4;13;8;23;27;5;89;0;79;2.1;0.3535;4.56015;1.1364418;0.8171937;40;1.2343462;0.9162668;0.3636;4.56015;25;0.854258;0.49189497;0.3535;2.2422
"Crique_Blanc";"COMTE";4.19014;-52.61742;"Orpaillage_illegal";181;4;9;15;22;27;6;73;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bois_Bande";"COMTE";4.28739;-52.53672;"Orpaillage_illegal";71;4;9;12;18;23;5;59;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bonodeur";"APPROUAGUES";3.999278;-52.56382;NA;335;5;12;14;26;30;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Bordel";"MANA";NA;NA;NA;6;3;4;4;4;4;4;5;0;3;11.9;0.5959;1.03525;0.8787;0.2453801;1;0.5959;NA;0.5959;0.5959;1;1.03525;NA;1.03525;1.03525
"Crique_Cacao";"COMTE";4.56177;-52.46061;"Agriculture";194;5;12;11;22;23;7;65;0;54;1.715;0.159075;4.76215;0.6777755;0.6842557;29;0.5285957;0.4058973;0.159075;1.7372;11;0.7547455;0.32719451;0.3131;1.3433
"Crique_Calebasse";"APPROUAGUES";3.60754;-53.12216;NA;87;2;5;8;9;9;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Chien_contaminee";"OYAPOCK";3.189834;-52.48989;"Orpaillage_illegal";482;5;18;19;39;53;10;314;110;271;4.7;0.060943;6.342882;1.1932715;0.982219;87;1.2686305;1.0305474;0.236221;4.37817;113;0.9623046;0.68979172;0.173551;3.213607
"Crique_Chien_non_contaminee";"OYAPOCK";3.189834;-52.48575;"Orpaillage_ancien";256;5;14;13;22;34;8;166;49;141;NA;0.155172;5.854503;0.8677156;0.7695794;56;1.0666038;1.1103492;0.155172;5.854503;45;0.6801689;0.34645477;0.248216;1.941315
"Crique_Cipanama";"APPROUAGUES";4.230718;-52.01073;NA;28;2;3;3;4;4;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Dachine";"COMTE";4.61006;-52.42301;"Agriculture";90;5;8;6;11;12;5;0;0;36;1.09;0.34845;2.1614;0.7990222;0.3957512;14;0.6694857;0.3717353;0.34845;1.54025;10;0.669125;0.08587475;0.58075;0.8181
"Crique_Deux_Roros";"SINNAMARY";4.361181;-52.89933;NA;48;4;10;8;12;14;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Eau_Claire";"KOUROU";5.14711;-52.87149;"Reference";257;5;15;13;28;33;6;69;0;53;2.27;0.21715;1.58065;0.6569288;0.2667432;18;0.74235;0.2573723;0.3939;1.58065;25;0.525402;0.20304664;0.21715;1.1817
"Crique_Galibi";"KOUROU";4.79289;-52.71279;"Reference";82;5;11;11;16;20;5;0;0;26;0.85;0.26765;2.27755;0.72215;0.5659984;12;0.8639708;0.5994086;0.3939;2.0099;10;0.6868;0.60675703;0.36865;2.27755
"Crique_Gargoulette";"MANA";5.47196;-53.57779;"Agriculture";73;4;7;6;9;9;4;0;0;29;2.41;0.2222;1.32815;0.5626397;0.2785997;15;0.6167733;0.2701084;0.34845;1.32815;6;0.505;0.24957425;0.24745;0.9393
"Crique_Georges";"SINNAMARY";5.09911;-53.05293;"Barrage";133;5;12;13;19;21;6;0;0;51;3.78;0.4343;7.24675;1.5464882;1.1321576;20;1.744775;1.483522;0.6262;7.24675;21;1.292319;0.63192615;0.5252;2.7068
"Crique_Grande_Waki";"MARONI";3.17532;-53.4713;NA;137;5;14;13;24;29;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Grenouille";"MANA";4.71634;-53.94367;"Orpaillage_ancien";21;3;3;5;5;5;4;16;0;13;4.69;0.7171;4.97425;2.4853769;1.1477374;0;NA;NA;NA;NA;10;2.28765;1.24839568;0.7171;4.97425
"Crique_Grillon";"COMTE";4.27861;-52.44469;"Orpaillage_ancien";488;5;10;10;17;18;5;70;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Humus";"KOUROU";4.91867;-52.54702;"Piste";81;5;13;11;19;22;7;0;0;42;2.25;0.49995;3.3431;1.273081;0.7347891;15;0.9679167;0.3777274;0.49995;1.9695;4;1.0415625;0.10360708;0.93425;1.1514
"Crique_Japigny";"APPROUAGUES";4.024693;-52.62717;NA;207;6;15;15;28;33;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Kampi";"KOUROU";4.82226;-52.83291;NA;304;5;17;17;31;34;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
