"Regime_alter";"nb_poissons";"Hg_muscle_mean";"d15N_mean";"Hg_muscle_se";"d15N_se";"d13C_se";"d13C_mean"
"Carnivore_Piscivore";91;1.64513888641758;10.5769224800769;0.153579592870277;0.113049028270224;0.193127381723659;-28.4979191078022
"Carnivore_Insectivore";50;0.99586785266;9.38627440534;0.182703183611313;0.135403446434206;0.321741085997807;-27.681914822
"Carnivore_Invertivore";324;1.12851451993827;9.87636674625309;0.0557738882783928;0.0598522064359771;0.0966790510394398;-27.9548448420988
"Carnivore_Scaliphage";2;0.2371306815;13.637637585;0.0435491435;0.170342865;0.0554268499999999;-24.83184195
"Carnivore_Charognard";8;1.14713820775;11.640128375;0.117521740540655;0.139656107860284;0.204730564102138;-27.05080031
"Carnivore";17;1.24150776470588;9.45685763905882;0.137154372772031;0.177957201321573;0.641940041876749;-28.9348985605882
"Omnivore_Piscivore";1;1.00495;8.542221667;NA;NA;NA;-25.03943461
"Omnivore_Invertivore";437;0.848992175471396;9.75197260732037;0.0308399770674839;0.0528640519714389;0.0812734593005588;-27.2616531946224
"Omnivore_Herbivore";17;0.979291980117647;9.54211430847059;0.112843928124962;0.284554384518868;0.233579578105882;-27.9614314223529
"Detritivore";14;1.02416435714286;10.3161607659286;0.13337891263448;0.139217996323578;0.315103434424225;-28.573519455
"Herbivore_Periphytophage";50;1.05641934752;9.50063542314;0.131446589354697;0.179287089725277;0.470198973797181;-30.5489682914
"Herbivore";5;0.5728041394;9.8858007262;0.0413356759122825;0.346884510763102;0.356385763238757;-27.96915077
"Herbivore_Phyllophage";7;0.201428908714286;8.04542561514286;0.0881914400603992;0.476219869136317;0.540261992273319;-28.6484983242857
NA;15;1.35742553873333;10.1645767078667;0.1754988079554;0.172994839622657;0.361904949003935;-28.6555277726667
