"Regime_alter";"nb_poissons";"Hg_muscle_mean";"d15N_mean";"Hg_muscle_se";"d15N_se";"d13C_se";"d13C_mean";"Hg_foie_mean";"Hg_foie_se";"Hg_branchie_mean";"Hg_branchie_se"
"Carnivore_Piscivore";25;2.55176361124;11.494773898;0.406352667153108;0.118262519320154;0.180893619419589;-27.9743164488;2.55519949328;0.385057010363946;0.61208567784;0.10368658637295
"Carnivore_Insectivore";4;1.58851375;9.9301115765;0.547616192822944;0.632266737943704;0.805243485724609;-28.02460806;0.936403;0.246928780348032;0.28886425;0.0891795235815328
"Carnivore_Invertivore";76;1.30620615723684;10.1738622946842;0.104558523125778;0.123581654833218;0.180074287360288;-27.6800919601316;1.61404452256579;0.155362625975343;0.315618430526316;0.031254292298821
"Carnivore";9;1.67632711111111;9.83939206266667;0.0973741669049292;0.154562099395065;0.44616477124845;-27.4791344111111;6.963186;0.939091754877951;0.365694;0.0328433081886977
"Omnivore_Invertivore";141;0.840367953085106;9.83150042608511;0.0511431514494377;0.0887323274798792;0.108050854328937;-26.8894745684397;0.766035112666667;0.114244812721188;0.190493369148936;0.0150539203468643
"Omnivore_Herbivore";10;0.9802430662;9.188318309;0.148533199396129;0.331043632620064;0.334887031415735;-28.339741263;0.4636998245;0.0769296019076165;0.1338998012;0.0269032083138145
"Detritivore";4;0.87675875;10.7038471875;0.0746935643673257;0.118885560049432;0.0487462661038895;-27.4098830725;0.671268;0.159881549128826;0.25127525;0.0455130709675345
"Herbivore_Periphytophage";10;1.64320421;9.4105960225;0.452299402075306;0.289744400343431;1.17501325293829;-28.359460122;1.4106350411;0.670371735021348;0.250555687;0.0804687578320761
"Herbivore";4;0.5453846925;9.958827857;0.0399335288286115;0.437789717357691;0.405650450432162;-28.1373156875;0.340680076;0.0386240825342204;0.08616214475;0.0186103611153826
"Herbivore_Phyllophage";4;0.1942165925;7.79429709125;0.1403421601395;0.541183077889553;0.404450460142471;-28.2808049825;0.14575962425;0.057848163781405;0.05204220525;0.0327752044843945
